OBJEKT ID,OBJEKT Inventarnummer,OBJEKT Sammlung,klassifikation,webtext,datierung,herstellung,herkunft,OBJEKT -> Inhalt,OBJEKT -> Masse,OBJEKT -> Material und Technik
190772,LM-1656.a,Wagen und Schlitten,Schlitten,"Auf beiden Längsseiten je eine Reiterfigur. Bugbekrönung: Sennenfigur. 1700 - 1800. 185 x 225 x 85 cm (ohne Senn (aufsteckb). geschnitzt, bemalt. ",1700 - 1800  ,,,,"Höhe 185 cm, Länge 225 cm, Breite 85 cm (ohne Senn (aufsteckb).","geschnitzt, bemalt."
190791,LM-1695,Wagen und Schlitten,Kinderschlitten,"Mit rotem Samtpolster. 1790 - 1800. 58,5 x 37 x 33 cm. ",1790 - 1800  ,,,,"Höhe 58.5 cm, Breite 37 cm, Tiefe 33 cm.",
190828,LM-2047.1-2,Wagen und Schlitten,Schlitten,"Wurstschlitten 'Dudelsackbläser' aus Ermatingen. 1700 - 1800. 187 x 237 x 100 cm. geschnitzt, bemalt. ",1700 - 1800  ,,,,"Höhe 187 cm, Länge 237 cm, Breite 100 cm.","geschnitzt, bemalt."
191050,LM-2811,Wagen und Schlitten,Schlittenkasten,"Polsterung aus beigefarbenem Filztuch. Innwendig mit schwarzem Leder. 1750 - 1800. 77 x 224 x 78 cm. bemalt, versilbert. ",1750 - 1800  ,,,,"Höhe 77 cm, Länge 224 cm, Breite 78 cm.","bemalt, versilbert."
191052,LM-2812,Wagen und Schlitten,Schlittenkasten,"In Form eines Löwen. 1700 - 1800. 83 x 198 x 59 cm. Holz, bemalt, geschnitzt. ",1700 - 1800  ,,,,"Höhe 83 cm, Länge 198 cm, Breite 59 cm.","Holz, bemalt, geschnitzt."
191092,LM-2885,Wagen und Schlitten,Fahrrad,"Hohes Vorderrad. Schweres Gestell, gerade Lenkstange, Räder mit Eisen beschlagen. 1800 - 1850. ",1800 - 1850  ,,,,,
191118,LM-3120.a,Wagen und Schlitten,Schlittenkasten,"Grün bemalt, mit geschnitzten Girlanden verziert. 1800 - 1810. 96 x 170 x 61 cm. Holz, geschnitzt, bemalt. ",1800 - 1810  ,,,,"Höhe 96 cm, Länge 170 cm, Breite 61 cm.","Holz, geschnitzt, bemalt."
191121,LM-3120.b,Wagen und Schlitten,Schlittenkasten,"Grün bemalt, mit geschnitzten Girlanden und Figuren verziert. 97 x 202 x 58 cm. Holz, geschnitzt, bemalt. ", ,,,,"Höhe 97 cm, Länge 202 cm, Breite 58 cm.","Holz, geschnitzt, bemalt."
8419,LM-3790.1-31,Wagen und Schlitten,Kutschenteile und Zubehör,"Gotthardpostwagen, Typus Coupé Berline No 880. Inhalt: Postwesen. Um 1850. Herkunft: St. Gotthard. 325 x 485 x 200 cm. 1930000 g (Wagen). Holz, bemalt. Eisen, geschmiedet. Leder. Fenster: Glas. 

Literatur:
Andres Furger, Der Gotthard-Postwagen (= Bildband 1), Zürich 1990. ",1850,,  ,Postwesen. ,"Wagen: Höhe 325 cm, Länge 485 cm, Breite 200 cm, Gewicht 1930000 g.","Holz, bemalt. Eisen, geschmiedet. Leder. Fenster: Glas."
191262,LM-4784,Wagen und Schlitten,Schlittenkasten,"Wurstschlitten mit Sitz in Form eines Hundes, mit gepolstertem Sitz. 1700 - 1800. 52 x 126 x 27 cm. ",1700 - 1800  ,,,,"Höhe 52 cm, Länge 126 cm, Breite 27 cm.",
195788,LM-4817,Wagen und Schlitten,Kinderfahrrad,Zweirädriges Knabenfahrrad. Ledersattel. 1700 - 1800. Holz. ,1700 - 1800  ,,,,,Holz.
